# Fit results:
# amplitude = 13.7349
# peak_pos[pc] = 1.7211
# width_left[pc] = 0.6102
# width_right[pc] = 15.0151
# chi_sq = 8.959
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -2.00    1.69    0.00
   0.27   -0.06    1.67    0.68
   0.54    2.06    1.85    1.36
   0.81    4.08    2.31    2.03
   1.07    6.21    3.45    2.71
   1.34    9.30    4.90    3.39
   1.61   12.15    6.45    4.07
   1.88   16.03    8.60    4.75
   2.15   20.35   10.82    5.43
   2.42   22.93   12.21    6.10
   2.69   24.61   11.52    6.78
   2.95   26.74    9.61    7.46
   3.22   27.44    7.73    8.14
   3.49   25.35    5.60    8.82
   3.76   24.13    4.75    9.50
   4.03   21.08    4.64   10.17
   4.30   15.61    4.42   10.85
   4.57   12.78    4.15   11.53
   4.83   11.12    3.75   12.21
   5.10    9.89    3.40   12.89
   5.37    9.40    2.94   13.56
   5.64    8.63    2.25   14.24
   5.91    8.21    1.61   14.92
   6.18    8.37    1.20   15.60
   6.45    7.72    1.52   16.28
   6.71    7.40    2.12   16.96
   6.98    7.18    2.30   17.63
   7.25    7.07    1.99   18.31
   7.52    7.71    1.41   18.99
   7.79    8.39    0.99   19.67
   8.06    8.87    1.19   20.35
   8.33    9.53    1.32   21.03
   8.59   10.14    1.58   21.70
   8.86   10.34    1.81   22.38
   9.13    9.75    2.15   23.06
   9.40    8.46    2.53   23.74
   9.67    7.68    2.88   24.42
   9.94    7.12    3.05   25.09
  10.21    6.83    2.94   25.77
  10.47    7.01    2.71   26.45
  10.74    7.66    2.28   27.13
  11.01    8.34    1.96   27.81
  11.28    9.10    1.77   28.49
  11.55    9.95    1.69   29.16
  11.82    9.93    1.77   29.84
  12.09    9.89    1.87   30.52
  12.35    9.57    2.12   31.20
  12.62    9.51    2.45   31.88
  12.89    9.37    2.60   32.56
  13.16    8.80    2.70   33.23
  13.43    8.14    2.71   33.91
  13.70    8.20    2.72   34.59
  13.97    7.61    2.70   35.27
  14.23    7.39    2.61   35.95
  14.50    6.88    2.30   36.62
  14.77    6.92    1.80   37.30
  15.04    7.25    1.40   37.98
  15.31    7.50    1.23   38.66
  15.58    8.06    1.24   39.34
  15.85    8.10    1.38   40.02
  16.11    7.64    1.63   40.69
  16.38    7.21    1.78   41.37
  16.65    6.67    1.68   42.05
  16.92    6.22    1.52   42.73
  17.19    5.78    1.32   43.41
  17.46    4.84    1.13   44.09
  17.73    4.05    1.21   44.76
  17.99    3.22    1.51   45.44
  18.26    2.27    1.96   46.12
  18.53    1.63    2.51   46.80
  18.80    1.45    2.81   47.48
  19.07    1.35    2.69   48.15
  19.34    1.18    2.44   48.83
  19.61    0.80    2.25   49.51
  19.87    0.01    2.07   50.19
